Iteration	LLH	NumNodes
0	-1748041.197428	2
1	-1748041.443633	2
2	-1748042.168072	2
3	-1748041.929598	2
4	-1748046.836860	2
5	-1748041.162895	2
6	-1748041.272842	2
7	-1748042.294192	2
8	-1748041.401315	2
9	-1748041.573093	2
10	-1748041.143160	2
11	-1748044.487848	2
12	-1748041.655934	2
13	-1748041.259758	2
14	-1748041.164178	2
15	-1748041.303880	2
16	-1748041.168123	2
17	-1748041.142392	2
18	-1748041.164957	2
19	-1748041.306949	2
20	-1748041.141864	2
21	-1748041.251039	2
22	-1748041.537668	2
23	-1748041.222253	2
24	-1748041.804239	2
25	-1748041.337367	2
26	-1748041.293537	2
27	-1748042.620156	2
28	-1748041.897287	2
29	-1748042.395723	2
30	-1748041.431100	2
31	-1748041.982278	2
32	-1748042.221850	2
33	-1748041.449076	2
34	-1748041.291122	2
35	-1748041.152544	2
36	-1748041.141864	2
37	-1748041.141864	2
38	-1748041.141864	2
39	-1748041.358317	2
40	-1748041.663089	2
41	-1748043.745212	2
42	-1748041.144770	2
43	-1748041.147218	2
44	-1748041.435562	2
45	-1748041.141864	2
46	-1748042.980324	2
47	-1748044.076691	2
48	-1748041.702516	2
49	-1748044.382982	2
50	-1748042.344909	2
51	-1748042.368713	2
52	-1748043.241002	2
53	-1748041.281005	2
54	-1748042.202238	2
55	-1748042.669644	2
56	-1748041.306573	2
57	-1748041.153548	2
58	-1748041.207669	2
59	-1748042.912919	2
60	-1748041.917550	2
61	-1748043.193482	2
62	-1748041.352395	2
63	-1748041.335745	2
64	-1748041.850091	2
65	-1748041.141864	2
66	-1748041.396237	2
67	-1748041.229518	2
68	-1748041.250268	2
69	-1748041.631836	2
70	-1748041.299388	2
71	-1748041.142256	2
72	-1748041.141864	2
73	-1748041.142110	2
74	-1748041.222091	2
75	-1748041.755225	2
76	-1748041.312804	2
77	-1748041.156098	2
78	-1748041.147607	2
79	-1748041.163227	2
80	-1748041.150209	2
81	-1748041.141864	2
82	-1748041.143447	2
83	-1748041.381788	2
84	-1748041.142736	2
85	-1748041.158319	2
86	-1748041.141864	2
87	-1748041.684338	2
88	-1748042.001757	2
89	-1748041.237248	2
90	-1748041.199317	2
91	-1748041.897505	2
92	-1748044.973960	2
93	-1748041.557722	2
94	-1748041.593870	2
95	-1748041.313007	2
96	-1748042.554115	2
97	-1748042.355979	2
98	-1748046.255664	2
99	-1748041.480290	2
100	-1748041.148720	2
101	-1748041.256115	2
102	-1748041.331397	2
103	-1748041.194861	2
104	-1748041.352413	2
105	-1748042.102284	2
106	-1748041.269087	2
107	-1748041.239822	2
108	-1748041.399731	2
109	-1748041.332686	2
110	-1748041.316711	2
111	-1748041.308206	2
112	-1748041.296717	2
113	-1748041.143107	2
114	-1748041.141864	2
115	-1748041.306716	2
116	-1748042.097353	2
117	-1748042.978790	2
118	-1748042.373455	2
119	-1748041.149540	2
120	-1748041.142705	2
121	-1748041.165158	2
122	-1748041.341068	2
123	-1748041.394613	2
124	-1748041.351735	2
125	-1748041.142799	2
126	-1748041.354654	2
127	-1748041.960897	2
128	-1748044.042964	2
129	-1748041.602453	2
130	-1748041.407035	2
131	-1748042.211695	2
132	-1748041.148163	2
133	-1748041.154850	2
134	-1748041.406208	2
135	-1748046.926183	2
136	-1748043.143326	2
137	-1748041.545773	2
138	-1748041.749793	2
139	-1748041.295831	2
140	-1748042.175222	2
141	-1748041.919202	2
142	-1748041.673462	2
143	-1748041.945780	2
144	-1748041.745083	2
